  0%|          | 0/134 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                      
{'loss': 0.6914, 'grad_norm': 314.8016662597656, 'learning_rate': 1.6666666666666668e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1592.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 397.56329345703125, 'learning_rate': 3.3333333333333335e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1600.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.03}
{'loss': 0.868, 'grad_norm': 534.4179077148438, 'learning_rate': 5.000000000000001e-07, 'rewards/chosen': -0.03173828125, 'rewards/rejected': 0.05126953125, 'rewards/accuracies': 0.140625, 'rewards/margins': -0.0830078125, 'logps/chosen': -1648.0, 'logps/rejected': -1512.0, 'logits/chosen': -1.921875, 'logits/rejected': nan, 'epoch': 0.04}
{'loss': 0.9203, 'grad_norm': 393.05303955078125, 'learning_rate': 6.666666666666667e-07, 'rewards/chosen': 0.359375, 'rewards/rejected': 0.25, 'rewards/accuracies': 0.16796875, 'rewards/margins': 0.10986328125, 'logps/chosen': -1720.0, 'logps/rejected': -1528.0, 'logits/chosen': -1.6015625, 'logits/rejected': -2.09375, 'epoch': 0.06}
{'loss': 1.1721, 'grad_norm': 147.52305603027344, 'learning_rate': 8.333333333333333e-07, 'rewards/chosen': 1.5, 'rewards/rejected': 1.4375, 'rewards/accuracies': 0.19921875, 'rewards/margins': 0.056640625, 'logps/chosen': -1656.0, 'logps/rejected': -1576.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.07}
{'loss': 0.9089, 'grad_norm': 148.41900634765625, 'learning_rate': 1.0000000000000002e-06, 'rewards/chosen': 2.8125, 'rewards/rejected': 2.15625, 'rewards/accuracies': 0.22265625, 'rewards/margins': 0.65625, 'logps/chosen': -1696.0, 'logps/rejected': -1544.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.09}
{'loss': 1.1279, 'grad_norm': 249.99728393554688, 'learning_rate': 1.1666666666666668e-06, 'rewards/chosen': 4.65625, 'rewards/rejected': 4.125, 'rewards/accuracies': 0.24609375, 'rewards/margins': 0.5390625, 'logps/chosen': -1504.0, 'logps/rejected': -1408.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.1}
{'loss': 1.0437, 'grad_norm': 167.96743774414062, 'learning_rate': 1.3333333333333334e-06, 'rewards/chosen': 6.5, 'rewards/rejected': 4.1875, 'rewards/accuracies': 0.2734375, 'rewards/margins': 2.328125, 'logps/chosen': -1688.0, 'logps/rejected': -1440.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.12}
{'loss': 1.0019, 'grad_norm': 198.98219299316406, 'learning_rate': 1.5e-06, 'rewards/chosen': 4.78125, 'rewards/rejected': 3.59375, 'rewards/accuracies': 0.23828125, 'rewards/margins': 1.1953125, 'logps/chosen': -1408.0, 'logps/rejected': -1312.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.13}
{'loss': 0.9992, 'grad_norm': 156.64630126953125, 'learning_rate': 1.6666666666666667e-06, 'rewards/chosen': 4.15625, 'rewards/rejected': 2.28125, 'rewards/accuracies': 0.24609375, 'rewards/margins': 1.890625, 'logps/chosen': -1696.0, 'logps/rejected': -1584.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.15}
{'loss': 1.0154, 'grad_norm': 129.7434539794922, 'learning_rate': 1.8333333333333333e-06, 'rewards/chosen': 1.625, 'rewards/rejected': -0.0673828125, 'rewards/accuracies': 0.30078125, 'rewards/margins': 1.6875, 'logps/chosen': -1720.0, 'logps/rejected': -1608.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.16}
