  0%|          | 0/3276 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                    
{'loss': 1.0093, 'grad_norm': 287.3670959472656, 'learning_rate': 3.4356390288593675e-11, 'rewards/chosen': -0.71875, 'rewards/rejected': -0.40771484375, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.3095703125, 'logps/chosen': -1080.0, 'logps/rejected': -1106.0, 'logits/chosen': -4.890625, 'logits/rejected': -5.078125, 'epoch': 0.0}
{'loss': 1.3682, 'grad_norm': 478.6225891113281, 'learning_rate': 6.871278057718735e-11, 'rewards/chosen': -1.94140625, 'rewards/rejected': -1.3933563232421875, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.5498046875, 'logps/chosen': -1602.0, 'logps/rejected': -1528.0, 'logits/chosen': -2.90625, 'logits/rejected': -2.9609375, 'epoch': 0.0}
{'loss': 0.7219, 'grad_norm': 741.223388671875, 'learning_rate': 1.0306917086578102e-10, 'rewards/chosen': -1.1875, 'rewards/rejected': -1.7880859375, 'rewards/accuracies': 0.25, 'rewards/margins': 0.5966796875, 'logps/chosen': -2480.0, 'logps/rejected': -1686.0, 'logits/chosen': -2.26953125, 'logits/rejected': nan, 'epoch': 0.0}
{'loss': 0.7656, 'grad_norm': 417.43902587890625, 'learning_rate': 1.374255611543747e-10, 'rewards/chosen': -1.5546875, 'rewards/rejected': -1.66796875, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.116455078125, 'logps/chosen': -1744.0, 'logps/rejected': -1772.0, 'logits/chosen': -3.03125, 'logits/rejected': -3.796875, 'epoch': 0.0}
{'loss': 1.318, 'grad_norm': 1050.911376953125, 'learning_rate': 1.717819514429684e-10, 'rewards/chosen': -2.2734375, 'rewards/rejected': -2.08984375, 'rewards/accuracies': 0.1875, 'rewards/margins': -0.18359375, 'logps/chosen': -2104.0, 'logps/rejected': -1776.0, 'logits/chosen': -2.140625, 'logits/rejected': -2.9375, 'epoch': 0.0}
{'loss': 1.3154, 'grad_norm': 699.8865966796875, 'learning_rate': 2.0613834173156204e-10, 'rewards/chosen': -1.5859375, 'rewards/rejected': -1.59765625, 'rewards/accuracies': 0.25, 'rewards/margins': 0.007843017578125, 'logps/chosen': -2336.0, 'logps/rejected': -2200.0, 'logits/chosen': -2.328125, 'logits/rejected': -2.46875, 'epoch': 0.01}
{'loss': 0.8279, 'grad_norm': 608.9132690429688, 'learning_rate': 2.4049473202015573e-10, 'rewards/chosen': -1.25, 'rewards/rejected': -1.828125, 'rewards/accuracies': 0.1875, 'rewards/margins': 0.5751953125, 'logps/chosen': -2360.0, 'logps/rejected': -2312.0, 'logits/chosen': nan, 'logits/rejected': -2.13671875, 'epoch': 0.01}
{'loss': 0.781, 'grad_norm': 380.5258483886719, 'learning_rate': 2.748511223087494e-10, 'rewards/chosen': -1.75390625, 'rewards/rejected': -1.8203125, 'rewards/accuracies': 0.3125, 'rewards/margins': 0.0673828125, 'logps/chosen': -1452.0, 'logps/rejected': -1134.0, 'logits/chosen': -3.2734375, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 1.2637, 'grad_norm': 753.2556762695312, 'learning_rate': 3.092075125973431e-10, 'rewards/chosen': -1.5703125, 'rewards/rejected': -0.90625, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.666015625, 'logps/chosen': -1092.0, 'logps/rejected': -934.0, 'logits/chosen': -4.859375, 'logits/rejected': -5.359375, 'epoch': 0.01}
{'loss': 1.3027, 'grad_norm': 631.2592163085938, 'learning_rate': 3.435639028859368e-10, 'rewards/chosen': -1.291015625, 'rewards/rejected': -0.6064453125, 'rewards/accuracies': 0.25, 'rewards/margins': -0.681640625, 'logps/chosen': -1984.0, 'logps/rejected': -1748.0, 'logits/chosen': -2.5859375, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 0.7854, 'grad_norm': 536.4257202148438, 'learning_rate': 3.7792029317453046e-10, 'rewards/chosen': -0.5718841552734375, 'rewards/rejected': -0.94140625, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.369140625, 'logps/chosen': -1246.0, 'logps/rejected': -890.0, 'logits/chosen': -3.984375, 'logits/rejected': nan, 'epoch': 0.01}
