  0%|          | 0/1605 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
  1%|          | 17/1605 [02:21<3:20:58,  7.59s/it]
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -4416.0, 'logps/rejected': -3968.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.0}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 7.006071929005137e-11, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -4624.0, 'logps/rejected': -4800.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.0}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 1.4012143858010274e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -5760.0, 'logps/rejected': -5488.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 2.1018215787015413e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -5120.0, 'logps/rejected': -5120.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 2.802428771602055e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -4112.0, 'logps/rejected': -3936.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 3.5030359645025685e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -8368.0, 'logps/rejected': -6080.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 4.2036431574030827e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6624.0, 'logps/rejected': -4920.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 4.904250350303596e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6224.0, 'logps/rejected': -4712.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 5.60485754320411e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6544.0, 'logps/rejected': -5280.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.02}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 6.305464736104624e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6768.0, 'logps/rejected': -6112.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.02}
{'loss': 0.6914, 'grad_norm': 0.0, 'learning_rate': 7.006071929005137e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6096.0, 'logps/rejected': -5408.0, 'logits/chosen': 0.0, 'logits/rejected': 0.0, 'epoch': 0.02}
