  0%|          | 0/4545 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                    
{'loss': 0.747, 'grad_norm': 66.72050476074219, 'learning_rate': 5.9445178335535e-09, 'rewards/chosen': -0.058611296117305756, 'rewards/rejected': -0.01488494873046875, 'rewards/accuracies': 0.2874999940395355, 'rewards/margins': -0.04392700269818306, 'logps/chosen': -448.6000061035156, 'logps/rejected': -256.5249938964844, 'logits/chosen': -6.065625190734863, 'logits/rejected': -6.168749809265137, 'epoch': 0.01}
{'loss': 0.6995, 'grad_norm': 49.61537551879883, 'learning_rate': 1.2549537648612946e-08, 'rewards/chosen': -0.0029129027388989925, 'rewards/rejected': 0.0066009522415697575, 'rewards/accuracies': 0.42500001192092896, 'rewards/margins': -0.009509277530014515, 'logps/chosen': -254.89999389648438, 'logps/rejected': -121.0999984741211, 'logits/chosen': -6.278124809265137, 'logits/rejected': -6.668749809265137, 'epoch': 0.01}
{'loss': 0.6929, 'grad_norm': 85.03448486328125, 'learning_rate': 1.915455746367239e-08, 'rewards/chosen': 0.00969543494284153, 'rewards/rejected': 0.00617561349645257, 'rewards/accuracies': 0.4000000059604645, 'rewards/margins': 0.00347900390625, 'logps/chosen': -283.1000061035156, 'logps/rejected': -142.35000610351562, 'logits/chosen': -6.190625190734863, 'logits/rejected': -6.546875, 'epoch': 0.02}
{'loss': 0.7107, 'grad_norm': 341.3675537109375, 'learning_rate': 2.5759577278731833e-08, 'rewards/chosen': -0.01038360595703125, 'rewards/rejected': 0.01364746131002903, 'rewards/accuracies': 0.39375001192092896, 'rewards/margins': -0.02403564378619194, 'logps/chosen': -416.20001220703125, 'logps/rejected': -175.3000030517578, 'logits/chosen': -6.265625, 'logits/rejected': -6.559374809265137, 'epoch': 0.03}
{'loss': 0.7221, 'grad_norm': 381.1331787109375, 'learning_rate': 3.236459709379128e-08, 'rewards/chosen': 0.0058197020553052425, 'rewards/rejected': 0.0072845458053052425, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': -0.0014526366721838713, 'logps/chosen': -366.3999938964844, 'logps/rejected': -201.0, 'logits/chosen': -6.296875, 'logits/rejected': -6.481249809265137, 'epoch': 0.03}
{'loss': 0.6965, 'grad_norm': 83.10525512695312, 'learning_rate': 3.896961690885073e-08, 'rewards/chosen': -0.0009788513416424394, 'rewards/rejected': -0.0018432617653161287, 'rewards/accuracies': 0.3812499940395355, 'rewards/margins': 0.0008666992071084678, 'logps/chosen': -227.35000610351562, 'logps/rejected': -122.6500015258789, 'logits/chosen': -6.378125190734863, 'logits/rejected': -6.590624809265137, 'epoch': 0.04}
{'loss': 0.6871, 'grad_norm': 108.34973907470703, 'learning_rate': 4.557463672391017e-08, 'rewards/chosen': 0.01671295240521431, 'rewards/rejected': -0.019014740362763405, 'rewards/accuracies': 0.48124998807907104, 'rewards/margins': 0.03578491136431694, 'logps/chosen': -316.04998779296875, 'logps/rejected': -155.1750030517578, 'logits/chosen': -6.15625, 'logits/rejected': -6.556250095367432, 'epoch': 0.05}
{'loss': 0.7483, 'grad_norm': 345.1416931152344, 'learning_rate': 5.2179656538969616e-08, 'rewards/chosen': 0.019289398565888405, 'rewards/rejected': 0.06916503608226776, 'rewards/accuracies': 0.4000000059604645, 'rewards/margins': -0.05005493015050888, 'logps/chosen': -352.54998779296875, 'logps/rejected': -216.39999389648438, 'logits/chosen': -6.237500190734863, 'logits/rejected': -6.418749809265137, 'epoch': 0.05}
{'loss': 0.7177, 'grad_norm': 57.10733413696289, 'learning_rate': 5.878467635402906e-08, 'rewards/chosen': 0.028304290026426315, 'rewards/rejected': 0.020206069573760033, 'rewards/accuracies': 0.38749998807907104, 'rewards/margins': 0.008135223761200905, 'logps/chosen': -322.25, 'logps/rejected': -167.25, 'logits/chosen': -6.371874809265137, 'logits/rejected': -6.646874904632568, 'epoch': 0.06}
{'loss': 0.68, 'grad_norm': 46.64662170410156, 'learning_rate': 6.53896961690885e-08, 'rewards/chosen': 0.05765991285443306, 'rewards/rejected': -0.02143096923828125, 'rewards/accuracies': 0.42500001192092896, 'rewards/margins': 0.07904052734375, 'logps/chosen': -329.8999938964844, 'logps/rejected': -159.77499389648438, 'logits/chosen': -6.300000190734863, 'logits/rejected': -6.671875, 'epoch': 0.07}
{'loss': 0.6861, 'grad_norm': 255.44903564453125, 'learning_rate': 7.199471598414796e-08, 'rewards/chosen': 0.05770416185259819, 'rewards/rejected': 0.0003784179571084678, 'rewards/accuracies': 0.5, 'rewards/margins': 0.05737457424402237, 'logps/chosen': -220.9499969482422, 'logps/rejected': -128.35000610351562, 'logits/chosen': -6.318749904632568, 'logits/rejected': -6.637499809265137, 'epoch': 0.07}
