  0%|          | 0/6057 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                    
{'loss': 0.699, 'grad_norm': 23.94658660888672, 'learning_rate': 5.9445178335535e-09, 'rewards/chosen': -0.0015499114524573088, 'rewards/rejected': 0.009106445126235485, 'rewards/accuracies': 0.3083333373069763, 'rewards/margins': -0.01061401329934597, 'logps/chosen': -452.70001220703125, 'logps/rejected': -296.0, 'logits/chosen': -6.125, 'logits/rejected': -6.234375, 'epoch': 0.0}
{'loss': 0.7036, 'grad_norm': 231.77232360839844, 'learning_rate': 1.2549537648612946e-08, 'rewards/chosen': 0.0006003052112646401, 'rewards/rejected': 0.00714111328125, 'rewards/accuracies': 0.4583333134651184, 'rewards/margins': -0.006552076432853937, 'logps/chosen': -360.0, 'logps/rejected': -145.5500030517578, 'logits/chosen': -6.171875, 'logits/rejected': -6.403124809265137, 'epoch': 0.01}
{'loss': 0.6987, 'grad_norm': 362.4499206542969, 'learning_rate': 1.915455746367239e-08, 'rewards/chosen': 0.0057357787154614925, 'rewards/rejected': 0.00997772254049778, 'rewards/accuracies': 0.38333332538604736, 'rewards/margins': -0.0042572021484375, 'logps/chosen': -288.1499938964844, 'logps/rejected': -139.52499389648438, 'logits/chosen': -6.231249809265137, 'logits/rejected': -6.584374904632568, 'epoch': 0.01}
{'loss': 0.6821, 'grad_norm': 33.973045349121094, 'learning_rate': 2.5759577278731833e-08, 'rewards/chosen': -0.00152587890625, 'rewards/rejected': -0.02060852013528347, 'rewards/accuracies': 0.491666704416275, 'rewards/margins': 0.019059181213378906, 'logps/chosen': -213.35000610351562, 'logps/rejected': -112.7750015258789, 'logits/chosen': -6.1875, 'logits/rejected': -6.621874809265137, 'epoch': 0.02}
{'loss': 0.6884, 'grad_norm': 31.468299865722656, 'learning_rate': 3.236459709379128e-08, 'rewards/chosen': 0.010816192254424095, 'rewards/rejected': -0.0031841278541833162, 'rewards/accuracies': 0.46666669845581055, 'rewards/margins': 0.01403198204934597, 'logps/chosen': -382.3500061035156, 'logps/rejected': -152.25, 'logits/chosen': -6.268750190734863, 'logits/rejected': -6.496874809265137, 'epoch': 0.02}
{'loss': 0.7049, 'grad_norm': 268.0901794433594, 'learning_rate': 3.896961690885073e-08, 'rewards/chosen': 0.005755615420639515, 'rewards/rejected': 0.0105743408203125, 'rewards/accuracies': 0.4333333373069763, 'rewards/margins': -0.00481071462854743, 'logps/chosen': -415.45001220703125, 'logps/rejected': -219.35000610351562, 'logits/chosen': -6.300000190734863, 'logits/rejected': -6.625, 'epoch': 0.03}
{'loss': 0.6893, 'grad_norm': 25.484588623046875, 'learning_rate': 4.557463672391017e-08, 'rewards/chosen': 0.0017791747814044356, 'rewards/rejected': -0.00601959228515625, 'rewards/accuracies': 0.40833336114883423, 'rewards/margins': 0.00775146484375, 'logps/chosen': -284.20001220703125, 'logps/rejected': -158.0, 'logits/chosen': -6.315625190734863, 'logits/rejected': -6.462500095367432, 'epoch': 0.03}
{'loss': 0.7122, 'grad_norm': 40.680267333984375, 'learning_rate': 5.2179656538969616e-08, 'rewards/chosen': -0.01622772216796875, 'rewards/rejected': 0.0027963637840002775, 'rewards/accuracies': 0.49166664481163025, 'rewards/margins': -0.01893310621380806, 'logps/chosen': -264.20001220703125, 'logps/rejected': -135.625, 'logits/chosen': -6.371874809265137, 'logits/rejected': -6.581250190734863, 'epoch': 0.04}
{'loss': 0.6805, 'grad_norm': 187.1646728515625, 'learning_rate': 5.878467635402906e-08, 'rewards/chosen': 0.007559201214462519, 'rewards/rejected': -0.019561767578125, 'rewards/accuracies': 0.491666704416275, 'rewards/margins': 0.02709197998046875, 'logps/chosen': -245.5500030517578, 'logps/rejected': -131.5, 'logits/chosen': -6.115624904632568, 'logits/rejected': -6.5625, 'epoch': 0.04}
{'loss': 0.6995, 'grad_norm': 24.836671829223633, 'learning_rate': 6.53896961690885e-08, 'rewards/chosen': 0.08490677177906036, 'rewards/rejected': 0.013126373291015625, 'rewards/accuracies': 0.4333333969116211, 'rewards/margins': 0.0718608871102333, 'logps/chosen': -370.125, 'logps/rejected': -201.9499969482422, 'logits/chosen': -6.306250095367432, 'logits/rejected': -6.565625190734863, 'epoch': 0.05}
{'loss': 0.709, 'grad_norm': 32.1212272644043, 'learning_rate': 7.199471598414796e-08, 'rewards/chosen': 0.02690582349896431, 'rewards/rejected': 0.03289489820599556, 'rewards/accuracies': 0.44999998807907104, 'rewards/margins': -0.0059486390091478825, 'logps/chosen': -318.125, 'logps/rejected': -197.3000030517578, 'logits/chosen': -6.446875095367432, 'logits/rejected': -6.574999809265137, 'epoch': 0.05}
