  0%|          | 0/4545 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                     
{'loss': 0.7234, 'grad_norm': 32.1220588684082, 'learning_rate': 2.3778071334214e-08, 'rewards/chosen': -0.031621553003787994, 'rewards/rejected': 0.01080932654440403, 'rewards/accuracies': 0.2562499940395355, 'rewards/margins': -0.04250030592083931, 'logps/chosen': -447.79998779296875, 'logps/rejected': -256.3500061035156, 'logits/chosen': -6.065625190734863, 'logits/rejected': -6.171875, 'epoch': 0.01}
{'loss': 0.6904, 'grad_norm': 28.953105926513672, 'learning_rate': 5.0198150594451784e-08, 'rewards/chosen': 0.02576599083840847, 'rewards/rejected': 0.00763015728443861, 'rewards/accuracies': 0.38749998807907104, 'rewards/margins': 0.01819152757525444, 'logps/chosen': -254.64999389648438, 'logps/rejected': -121.0250015258789, 'logits/chosen': -6.278124809265137, 'logits/rejected': -6.668749809265137, 'epoch': 0.01}
{'loss': 0.6922, 'grad_norm': 25.045791625976562, 'learning_rate': 7.661822985468956e-08, 'rewards/chosen': 0.0034439086448401213, 'rewards/rejected': 0.0024536133278161287, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.0009918212890625, 'logps/chosen': -283.1000061035156, 'logps/rejected': -142.3000030517578, 'logits/chosen': -6.196875095367432, 'logits/rejected': -6.546875, 'epoch': 0.02}
{'loss': 0.6906, 'grad_norm': 164.3693389892578, 'learning_rate': 1.0303830911492733e-07, 'rewards/chosen': 0.01841278001666069, 'rewards/rejected': 0.005076599307358265, 'rewards/accuracies': 0.4437499940395355, 'rewards/margins': 0.01328430138528347, 'logps/chosen': -416.25, 'logps/rejected': -175.35000610351562, 'logits/chosen': -6.265625, 'logits/rejected': -6.5625, 'epoch': 0.03}
{'loss': 0.7025, 'grad_norm': 194.30960083007812, 'learning_rate': 1.2945838837516513e-07, 'rewards/chosen': 0.02373046800494194, 'rewards/rejected': 0.016031360253691673, 'rewards/accuracies': 0.4312500059604645, 'rewards/margins': 0.007656860165297985, 'logps/chosen': -366.25, 'logps/rejected': -200.8000030517578, 'logits/chosen': -6.290625095367432, 'logits/rejected': -6.474999904632568, 'epoch': 0.03}
{'loss': 0.6896, 'grad_norm': 29.611248016357422, 'learning_rate': 1.5587846763540292e-07, 'rewards/chosen': 0.010775089263916016, 'rewards/rejected': 0.0006591796991415322, 'rewards/accuracies': 0.48124998807907104, 'rewards/margins': 0.01010742224752903, 'logps/chosen': -227.1999969482422, 'logps/rejected': -122.625, 'logits/chosen': -6.384375095367432, 'logits/rejected': -6.584374904632568, 'epoch': 0.04}
{'loss': 0.6602, 'grad_norm': 32.006290435791016, 'learning_rate': 1.8229854689564068e-07, 'rewards/chosen': 0.13818970322608948, 'rewards/rejected': -0.0013641357654705644, 'rewards/accuracies': 0.5375000238418579, 'rewards/margins': 0.13935089111328125, 'logps/chosen': -315.25, 'logps/rejected': -154.9250030517578, 'logits/chosen': -6.15625, 'logits/rejected': -6.550000190734863, 'epoch': 0.05}
{'loss': 0.6802, 'grad_norm': 46.06798553466797, 'learning_rate': 2.0871862615587847e-07, 'rewards/chosen': 0.19510650634765625, 'rewards/rejected': 0.09712371975183487, 'rewards/accuracies': 0.48750001192092896, 'rewards/margins': 0.09775390475988388, 'logps/chosen': -350.8999938964844, 'logps/rejected': -215.9499969482422, 'logits/chosen': -6.224999904632568, 'logits/rejected': -6.403124809265137, 'epoch': 0.05}
{'loss': 0.6616, 'grad_norm': 29.544347763061523, 'learning_rate': 2.3513870541611625e-07, 'rewards/chosen': 0.2608085572719574, 'rewards/rejected': 0.0014770508278161287, 'rewards/accuracies': 0.518750011920929, 'rewards/margins': 0.25877684354782104, 'logps/chosen': -319.54998779296875, 'logps/rejected': -167.4499969482422, 'logits/chosen': -6.353125095367432, 'logits/rejected': -6.634375095367432, 'epoch': 0.06}
{'loss': 0.6497, 'grad_norm': 21.276451110839844, 'learning_rate': 2.61558784676354e-07, 'rewards/chosen': 0.3065429627895355, 'rewards/rejected': 0.0022033690474927425, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.30438232421875, 'logps/chosen': -327.29998779296875, 'logps/rejected': -159.78750610351562, 'logits/chosen': -6.284375190734863, 'logits/rejected': -6.643750190734863, 'epoch': 0.07}
{'loss': 0.6582, 'grad_norm': 30.444828033447266, 'learning_rate': 2.879788639365918e-07, 'rewards/chosen': 0.22983399033546448, 'rewards/rejected': 0.03105011023581028, 'rewards/accuracies': 0.606249988079071, 'rewards/margins': 0.19904175400733948, 'logps/chosen': -218.9499969482422, 'logps/rejected': -128.0, 'logits/chosen': -6.287499904632568, 'logits/rejected': -6.596875190734863, 'epoch': 0.07}
