                                                    
{'loss': 0.6938, 'grad_norm': 38.45811080932617, 'learning_rate': 4.3795620437956205e-09, 'rewards/chosen': 0.0014656067360192537, 'rewards/rejected': 0.010996627621352673, 'rewards/accuracies': 0.33125001192092896, 'rewards/margins': -0.009534835815429688, 'logps/chosen': -345.25, 'logps/rejected': -172.0, 'logits/chosen': -6.46875, 'logits/rejected': -6.346875190734863, 'epoch': 0.0}
{'loss': 0.6995, 'grad_norm': 43.440494537353516, 'learning_rate': 9.24574209245742e-09, 'rewards/chosen': -0.00933990441262722, 'rewards/rejected': -0.0008914947393350303, 'rewards/accuracies': 0.3812499940395355, 'rewards/margins': -0.008421706967055798, 'logps/chosen': -237.4250030517578, 'logps/rejected': -152.9499969482422, 'logits/chosen': -6.4453125, 'logits/rejected': -6.378125190734863, 'epoch': 0.01}
{'loss': 0.7121, 'grad_norm': 30.964448928833008, 'learning_rate': 1.411192214111922e-08, 'rewards/chosen': -0.024253081530332565, 'rewards/rejected': 0.0057426453568041325, 'rewards/accuracies': 0.375, 'rewards/margins': -0.029997635632753372, 'logps/chosen': -316.3500061035156, 'logps/rejected': -123.98750305175781, 'logits/chosen': -6.415625095367432, 'logits/rejected': -6.620312690734863, 'epoch': 0.01}
{'loss': 0.6932, 'grad_norm': 448.0378112792969, 'learning_rate': 1.897810218978102e-08, 'rewards/chosen': 0.0017782211070880294, 'rewards/rejected': 0.01120605506002903, 'rewards/accuracies': 0.4000000059604645, 'rewards/margins': -0.00942382775247097, 'logps/chosen': -327.32501220703125, 'logps/rejected': -128.39999389648438, 'logits/chosen': -6.334374904632568, 'logits/rejected': -6.4609375, 'epoch': 0.02}
{'loss': 0.6971, 'grad_norm': 38.361045837402344, 'learning_rate': 2.384428223844282e-08, 'rewards/chosen': -0.0012947082286700606, 'rewards/rejected': 0.00186920166015625, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': -0.0031585693359375, 'logps/chosen': -393.4750061035156, 'logps/rejected': -129.8625030517578, 'logits/chosen': -6.151562690734863, 'logits/rejected': -6.498437404632568, 'epoch': 0.02}
{'loss': 0.6911, 'grad_norm': 49.787452697753906, 'learning_rate': 2.8710462287104622e-08, 'rewards/chosen': 0.0073184967041015625, 'rewards/rejected': -0.0028133392333984375, 'rewards/accuracies': 0.4312500059604645, 'rewards/margins': 0.01013336144387722, 'logps/chosen': -263.8999938964844, 'logps/rejected': -126.625, 'logits/chosen': -6.324999809265137, 'logits/rejected': -6.518750190734863, 'epoch': 0.03}
{'loss': 0.6959, 'grad_norm': 38.713966369628906, 'learning_rate': 3.357664233576642e-08, 'rewards/chosen': 0.001861572265625, 'rewards/rejected': 0.0001277923583984375, 'rewards/accuracies': 0.4625000059604645, 'rewards/margins': 0.001741599990054965, 'logps/chosen': -267.32501220703125, 'logps/rejected': -149.5, 'logits/chosen': -6.255468845367432, 'logits/rejected': -6.340624809265137, 'epoch': 0.03}
{'loss': 0.6819, 'grad_norm': 33.303680419921875, 'learning_rate': 3.8442822384428224e-08, 'rewards/chosen': 0.0413818359375, 'rewards/rejected': -0.00975723285228014, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.05121421813964844, 'logps/chosen': -277.875, 'logps/rejected': -136.3125, 'logits/chosen': -6.345312595367432, 'logits/rejected': -6.317187309265137, 'epoch': 0.04}
{'loss': 0.6861, 'grad_norm': 43.60321044921875, 'learning_rate': 4.330900243309002e-08, 'rewards/chosen': 0.043210603296756744, 'rewards/rejected': -0.0008270263788290322, 'rewards/accuracies': 0.40625, 'rewards/margins': 0.04403839260339737, 'logps/chosen': -311.6625061035156, 'logps/rejected': -119.67500305175781, 'logits/chosen': -6.404687404632568, 'logits/rejected': -6.689062595367432, 'epoch': 0.04}
{'loss': 0.6825, 'grad_norm': 35.5698127746582, 'learning_rate': 4.817518248175182e-08, 'rewards/chosen': 0.08115997165441513, 'rewards/rejected': -0.0038742064498364925, 'rewards/accuracies': 0.40625, 'rewards/margins': 0.08493804931640625, 'logps/chosen': -288.5375061035156, 'logps/rejected': -129.99374389648438, 'logits/chosen': -6.285937309265137, 'logits/rejected': -6.451562404632568, 'epoch': 0.05}
{'loss': 0.6635, 'grad_norm': 43.21455764770508, 'learning_rate': 5.304136253041362e-08, 'rewards/chosen': 0.15738829970359802, 'rewards/rejected': 0.0058307647705078125, 'rewards/accuracies': 0.45625001192092896, 'rewards/margins': 0.15163345634937286, 'logps/chosen': -366.8999938964844, 'logps/rejected': -125.32499694824219, 'logits/chosen': -6.360937595367432, 'logits/rejected': -6.567187309265137, 'epoch': 0.05}
